date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:17	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2261ebb2f3-19%22	https://demo.themefisher.com/robots.txt		(from )
01:53:22	42596/42596	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-a664%22	https://demo.themefisher.com/navigator/	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/index.html	(from )
01:53:22	766/766	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2261ebb2f1-2fe%22	https://demo.themefisher.com/navigator/favicon.ico	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/favicon.ico	(from https://demo.themefisher.com/navigator/)
01:53:23	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-22682%22	https://demo.themefisher.com/navigator/plugins/bootstrap/bootstrap.min.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/bootstrap/bootstrap.min.css	(from https://demo.themefisher.com/navigator/)
01:53:23	30060/30060	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-756c%22	https://demo.themefisher.com/navigator/plugins/revo-slider/css/settings.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/revo-slider/css/settings.css	(from https://demo.themefisher.com/navigator/)
01:53:23	140793/140793	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-225f9%22	https://demo.themefisher.com/navigator/plugins/revo-slider/css/layers.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/revo-slider/css/layers.css	(from https://demo.themefisher.com/navigator/)
01:53:24	59576/59576	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-e8b8%22	https://demo.themefisher.com/navigator/plugins/revo-slider/css/navigation.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/revo-slider/css/navigation.css	(from https://demo.themefisher.com/navigator/)
01:53:24	9742/9742	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-260e%22	https://demo.themefisher.com/navigator/plugins/revo-slider/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/revo-slider/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from https://demo.themefisher.com/navigator/)
01:54:51	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-7187%22	https://demo.themefisher.com/navigator/plugins/revo-slider/fonts/font-awesome/css/font-awesome.min.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/revo-slider/fonts/font-awesome/css/font-awesome.min.css	(from https://demo.themefisher.com/navigator/)
01:54:51	44089/44089	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-ac39%22	https://demo.themefisher.com/navigator/plugins/themefisher-font/style.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/themefisher-font/style.css	(from https://demo.themefisher.com/navigator/)
01:55:58	2846/2846	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-b1e%22	https://demo.themefisher.com/navigator/plugins/lightbox2/dist/css/lightbox.min.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/lightbox2/dist/css/lightbox.min.css	(from https://demo.themefisher.com/navigator/)
01:56:01	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-c49%22	https://demo.themefisher.com/navigator/plugins/slick-carousel/slick/slick-theme.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/plugins/slick-carousel/slick/slick-theme.css	(from https://demo.themefisher.com/navigator/)
01:56:02	29719/29719	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f1-7417%22	https://demo.themefisher.com/navigator/css/style.css	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/css/style.css	(from https://demo.themefisher.com/navigator/)
01:56:02	42596/42596	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-a664%22	https://demo.themefisher.com/navigator/index.html	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/index-2.html	(from https://demo.themefisher.com/navigator/)
01:56:02	3892/3892	---M--	200	added ('OK')	image/png	etag:%2261ebb2f1-f34%22	https://demo.themefisher.com/navigator/images/logo.png	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/images/logo.png	(from https://demo.themefisher.com/navigator/)
01:56:02	47537/47537	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-b9b1%22	https://demo.themefisher.com/navigator/index-2.html	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/index-3.html	(from https://demo.themefisher.com/navigator/)
01:56:03	23491/23491	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-5bc3%22	https://demo.themefisher.com/navigator/about.html	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/about.html	(from https://demo.themefisher.com/navigator/)
01:56:03	28186/28186	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-6e1a%22	https://demo.themefisher.com/navigator/service.html	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/service.html	(from https://demo.themefisher.com/navigator/)
01:56:03	21935/21935	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-55af%22	https://demo.themefisher.com/navigator/portfolio.html	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/portfolio.html	(from https://demo.themefisher.com/navigator/)
01:56:04	16191/16191	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-3f3f%22	https://demo.themefisher.com/navigator/contact.html	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/contact.html	(from https://demo.themefisher.com/navigator/)
01:56:04	7983/7983	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f1-1f2f%22	https://demo.themefisher.com/navigator/404.html	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/404.html	(from https://demo.themefisher.com/navigator/)
01:56:05	39260/39260	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f1-995c%22	https://demo.themefisher.com/navigator/images/about/about-1.jpg	F:/My%20Web%20Sites/Navigetor/demo.themefisher.com/navigator/images/about/about-1.jpg	(from https://demo.themefisher.com/navigator/)
